Installation hostname	Country	Continent	DOI authority	GDCC member	Launch year	Project board under IQSS	Project board API URL	Fork URL	About URL	custom guide url	Blog Post
dvn.library.ubc.ca	Canada	North America	␕	no				∅	not configurable		
dataverse.ada.edu.au	Australia	Australia	10.26193	yes	2017	https://github.com/orgs/IQSS/projects/17	https://api.github.com/projects/3269970	∅	https://ada.edu.au	none	
data.aussda.at	Austria	Europe	10.11587	no				∅	http://aussda.at	none	
dataverse.bhp.org.bw	Botswana	Africa	∅	no				∅		none	
catalogues.cdsp.sciences-po.fr	France	Europe	10.2141	no		https://github.com/orgs/IQSS/projects/12	https://api.github.com/projects/3003605	∅	not configured	none	
data.cifor.org	Indonesia	Asia	10.17528	no				∅	not configured	none	
data.cimmyt.org	Mexico	North America	␕	no				https://github.com/CIMMYT/Research-Data-Repository	not configured	none	
dataverse.cirad.fr	France	Europe	10.18167	no				NA	not configured	https://dataverse.cirad.fr/guide/guide.html	
dataverse.library.dal.ca	Canada	North America	10.23685	no				NA	not configured	none	
data.inra.fr	France	Europe	10.15454	no		https://github.com/orgs/IQSS/projects/15	https://api.github.com/projects/3204254	NA		https://www6.inra.fr/datapartage/Zoom-sur/Portail-Data-Inra-nouvelle-version	
dataverse.ird.fr	France	Europe	10.23708	no							
dataspace.ust.hk	Hong Kong	Asia	10.14711	no				?	not configurable	https://dataspace.ust.hk/ds/service/about	
edatos.consorciomadrono.es	Spain	Europe	10.2195	yes				?	not configured	none	
dataverse.nl	Netherlands	Europe	␕	yes				https://github.com/DANS-KNAW/dataverse/tree/dans-master	https://dans.knaw.nl/en/about/services/archiving-and-reusing-data/DataverseNL/about?set_language=en	https://dans.knaw.nl/en/about/services/DataverseNL/dataversenl-faq	
dataverse.no	Norway	Europe	10.1871	yes		https://github.com/orgs/IQSS/projects/14	https://api.github.com/projects/3127472	NA	http://site.uit.no/dataverseno/deposit/	https://site.uit.no/dataverseno/deposit/	
researchdata.ntu.edu.sg	Singapore	Asia	10.21979	yes				NA	https://blogs.ntu.edu.sg/lib-datamanagement/about-dr-ntu-data/	https://blogs.ntu.edu.sg/lib-datamanagement/dr-ntu-data-user-guides/	
dvn.fudan.edu.cn	China	Asia	∅	yes				https://dvn.fudan.edu.cn/home/	not configurable	none	https://dataverse.org/blog/featured-dataverse-repository-fudan-university
data.gro.uni-goettingen.de	Germany	Europe	10.25625	yes							
dataverse.harvard.edu	USA	North America	10.791	yes		https://github.com/orgs/IQSS/projects/2	https://api.github.com/projects/2606462	NA	http://dataverse.org	none	
